"Address","Occurrences","H1-1","H1-1 length","H1-2","H1-2 length","Indexability","Indexability Status"
"https://www.drupal.com/case-study/greenpeace-greenwire","1","Greenpeace uses Drupal to Empower, Grow Volunteering","52","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/sevilla-fc","1","Sevilla FC: A brand that never stops growing","44","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/showcases?page=4","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/case-study/care-international-uk","1","Care International UKi","22","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/youth-on-record","1","Website Redesign in Drupal 8 Helps a Rockstar Nonprofit Get an Edge","67","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/rainforest-alliance","1","A Reimagined Rainforest Alliance on Drupal 8","44","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/government-bermuda","1","Government of Bermuda","21","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/the-sapan-institute","1","The SAPAN Institute","19","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/university-of-colorado","1","Creating an Engaging Donor Experience for University of Colorado Alumni","71","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/red-hat-opensource-com","1","Red Hat is Extending Open Source Principles Beyond Technology","61","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/gatwick","1","Gatwick Obviously on Drupal, obviously!","39","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/higgidy","1","‘The best things in life are always a bit Higgidy...’","53","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/shoretel","1","ShoreTel","8","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/iom3","1","The Institute of Materials, Minerals and Mining (IOM3)","54","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/node/1051","2","Drupal helps Red Cross GDPC bring its teams together","52","Drupal helps Red Cross GDPC bring its teams together","52","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/foxtel-presto-video-on-demand","1","Hey, Presto! Drupal drives personalized media experience for Foxtel Video-on-Demand Customers","93","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/fema","1","Rebuilding FEMA.gov to deliver a powerful user experience","57","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/spartannash","1","Filling Bigger Baskets, Faster with SpartanNash","47","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/404","1","404","3","","0","Non-Indexable","Canonicalised"
